Club,Season,GW_Played,Goals_Scored,Goals_Conceded,Goal_Difference,Expenditure,Income,Net,Points,Points_per_GW,Expenditure_per_Point_per_GW,Manager,Owner,Champion,Relegated
NOR,2019,19,19,38,-19,-4.75,1.14,-3.61,12,0.631578947,-7.520833333,Farke,Jones,FALSE,FALSE
MCI,2018,38,95,23,72,-89.59,61.67,-27.92,98,2.578947368,-34.73897959,Guardiola,City_Football,TRUE,FALSE
LIV,2018,38,89,22,67,-160.85,46.85,-114,97,2.552631579,-63.01340206,Klopp,Fenway,FALSE,FALSE
CHE,2018,38,63,39,24,-238.03,79.29,-158.74,72,1.894736842,-125.6269444,Sarri,Abramovich,FALSE,FALSE
TOT,2018,38,67,39,28,0.00,6.1,6.1,71,1.868421053,0,Pochettino,ENIC,FALSE,FALSE
ARS,2018,38,73,51,22,-91.37,9.01,-82.36,70,1.842105263,-49.60085714,Emery,Kroenke,FALSE,FALSE
MAN,2018,38,65,54,11,-94.28,34.83,-59.45,66,1.736842105,-54.28242424,Solsjkaer,Glazer,FALSE,FALSE
WOL,2018,38,47,46,1,-127.97,26.56,-101.41,57,1.5,-85.31333333,Santo,Fosun,FALSE,FALSE
EVE,2018,38,54,46,8,-113.77,32.66,-81.11,54,1.421052632,-80.06037037,Silva,Moshiri,FALSE,FALSE
LEI,2018,38,51,48,3,-130.64,109.21,-21.43,52,1.368421053,-95.46769231,Puel,King_Power,FALSE,FALSE
WHU,2018,38,52,55,-3,-107.05,16.95,-90.1,52,1.368421053,-78.22884615,Pellegrini,Sullivan,FALSE,FALSE
WAT,2018,38,52,59,-7,-34.31,59.1,24.79,50,1.315789474,-26.0756,Garcia,Pozzo,FALSE,FALSE
CRY,2018,38,51,53,-2,-13.51,0.399,-13.111,49,1.289473684,-10.47714286,Hodgson,Parish,FALSE,FALSE
NEW,2018,38,42,48,-6,-68.12,54.7,-13.42,45,1.184210526,-57.52355556,Benitez,Ashley,FALSE,FALSE
BOU,2018,38,56,70,-14,-101.57,23.03,-78.54,45,1.184210526,-85.77022222,Howe,Demin,FALSE,FALSE
BUR,2018,38,45,68,-23,-37.62,9.12,-28.5,40,1.052631579,-35.739,Dyche,Garlick,FALSE,FALSE
SOU,2018,38,45,65,-20,-70.97,27.13,-43.84,39,1.026315789,-69.15025641,Hasenhuttl,Jisheng,FALSE,FALSE
BHA,2018,38,35,60,-25,-100.73,15.28,-85.45,36,0.947368421,-106.3261111,Hughton,Bloom,FALSE,FALSE
CAR,2018,38,34,69,-35,-58.37,0,-58.37,34,0.894736842,-65.23705882,Warnock,Tan,FALSE,TRUE
FUL,2018,38,34,81,-47,-132.81,5.13,-127.68,26,0.684210526,-194.1069231,Jokanovic,Khan,FALSE,TRUE
HUD,2018,38,22,76,-54,-57.80,14.06,-43.74,16,0.421052632,-137.275,Wagner,Hoyle,FALSE,TRUE
MCI,2017,38,106,27,79,-361.95,104.14,-257.81,100,2.631578947,-137.541,Guardiola,City_Football,TRUE,FALSE
MAN,2017,38,68,28,40,-226.18,51.87,-174.31,81,2.131578947,-106.1091358,Mourinho,Glazer,FALSE,FALSE
TOT,2017,38,74,36,38,-138.51,118.33,-20.18,77,2.026315789,-68.35558442,Pochettino,ENIC,FALSE,FALSE
LIV,2017,38,84,38,46,-198.22,221.73,23.51,75,1.973684211,-100.4314667,Klopp,Fenway,FALSE,FALSE
CHE,2017,38,62,38,24,-296.97,228.68,-68.29,70,1.842105263,-161.2122857,Sarri,Abramovich,FALSE,FALSE
ARS,2017,38,74,51,23,-174.25,180.12,5.87,63,1.657894737,-105.1031746,Wenger,ITV_plc,FALSE,FALSE
BUR,2017,38,36,39,-3,-40.74,57,16.26,54,1.421052632,-28.66888889,Dyche,Garlick,FALSE,FALSE
EVE,2017,38,44,58,-14,-231.65,144.07,-87.58,49,1.289473684,-179.6469388,Allardyce,Moshiri,FALSE,FALSE
LEI,2017,38,56,60,-4,-99.98,54.61,-45.37,47,1.236842105,-80.83489362,Puel,King_Power,FALSE,FALSE
BOU,2017,38,45,61,-16,-39.10,0,-39.1,44,1.157894737,-33.76818182,Howe,Demin,FALSE,FALSE
CRY,2017,38,48,68,-20,-55.80,3.42,-52.38,44,1.157894737,-48.19090909,Hodgson,Parish,FALSE,FALSE
NEW,2017,38,39,47,-8,-50.50,22.25,-28.25,44,1.157894737,-43.61363636,Benitez,Ashley,FALSE,FALSE
WHU,2017,38,48,68,-20,-64.74,78.69,13.95,42,1.105263158,-58.57428571,Bilic,Sullivan,FALSE,FALSE
WAT,2017,38,44,64,-20,-81.40,21.36,-60.04,41,1.078947368,-75.44390244,Silva,Pozzo,FALSE,FALSE
BHA,2017,38,34,54,-20,-76.38,0,-76.38,40,1.052631579,-72.561,Hughton,Bloom,FALSE,FALSE
HUD,2017,38,28,58,-30,-64.70,6.67,-58.03,37,0.973684211,-66.44864865,Wagner,Hoyle,FALSE,FALSE
SOU,2017,38,37,56,-19,-69.83,112.12,42.29,36,0.947368421,-73.70944444,Pellegrino,Jisheng,FALSE,FALSE
STK,2017,38,35,68,-33,-65.78,40.06,-25.72,33,0.868421053,-75.74666667,Hughes,Coates,FALSE,TRUE
SWA,2017,38,28,56,-28,-83.66,92.45,8.79,33,0.868421053,-96.33575758,Carvalhal,Levien,FALSE,TRUE
WBA,2017,38,31,56,-25,-60.99,2.34,-58.65,31,0.815789474,-74.76193548,Pardew,Guochuan,FALSE,TRUE
CHE,2016,38,85,33,52,-151.39,123.58,-27.81,93,2.447368421,-61.85827957,Conte,Abramovich,TRUE,FALSE
TOT,2016,38,86,26,60,-95.19,59.62,-35.57,86,2.263157895,-42.06069767,Pochettino,ENIC,FALSE,FALSE
MCI,2016,38,80,39,41,-242.39,40.3,-202.09,78,2.052631579,-118.0874359,Guardiola,City_Football,FALSE,FALSE
LIV,2016,38,78,42,36,-91.09,97.33,6.24,76,2,-45.545,Klopp,Fenway,FALSE,FALSE
ARS,2016,38,77,44,33,-128.87,11.8,-117.07,75,1.973684211,-65.29413333,Wenger,ITV_plc,FALSE,FALSE
MAN,2016,38,54,29,25,-210.90,53.75,-157.15,69,1.815789474,-116.1478261,Mourinho,Glazer,FALSE,FALSE
EVE,2016,38,62,44,18,-97.93,69.31,-28.62,61,1.605263158,-61.00557377,Koeman,Woods,FALSE,FALSE
SOU,2016,38,41,48,-7,-78.55,96.96,18.41,46,1.210526316,-64.88913043,Puel,Jisheng,FALSE,FALSE
BOU,2016,38,55,67,-12,-46.39,29.06,-17.33,46,1.210526316,-38.32217391,Howe,Demin,FALSE,FALSE
WHU,2016,38,47,64,-17,-95.19,46.74,-48.45,45,1.184210526,-80.38266667,Bilic,Sullivan,FALSE,FALSE
WBA,2016,38,43,51,-8,-43.21,30.75,-12.46,45,1.184210526,-36.48844444,Pulis,Guochuan,FALSE,FALSE
LEI,2016,38,48,63,-15,-104.42,75.3,-29.12,44,1.157894737,-90.18090909,Ranieri,King_Power,FALSE,FALSE
STK,2016,38,41,56,-15,-44.20,4.33,-39.87,44,1.157894737,-38.17272727,Hughes,Coates,FALSE,FALSE
SWA,2016,38,50,63,-13,-66.23,56.2,-10.03,41,1.078947368,-61.38390244,Guidolin,Levien,FALSE,FALSE
CRY,2016,38,50,63,-13,-115.48,57.23,-58.25,41,1.078947368,-107.0302439,Allardyce,Parish,FALSE,FALSE
WAT,2016,38,40,68,-28,-79.74,66.23,-13.51,40,1.052631579,-75.753,Mazzarri,Pozzo,FALSE,FALSE
BUR,2016,38,39,55,-16,-51.98,1.37,-50.61,40,1.052631579,-49.381,Dyche,Garlick,FALSE,FALSE
HUL,2016,38,37,80,-43,-45.60,32.95,-12.65,34,0.894736842,-50.96470588,Phelan,Allam,FALSE,TRUE
MID,2016,38,27,53,-26,-54.66,15.39,-39.27,28,0.736842105,-74.18142857,Karanka,Gibson,FALSE,TRUE
SUN,2016,38,29,69,-40,-47.44,27.1,-20.34,24,0.631578947,-75.11333333,Moyes,Short,FALSE,TRUE
LEI,2015,38,68,36,32,-56.89,10.77,-46.12,81,2.131578947,-26.6891358,Ranieri,King_Power,TRUE,FALSE
ARS,2015,38,65,36,29,-30.21,2.85,-27.36,71,1.868421053,-16.16873239,Wenger,ITV_plc,FALSE,FALSE
TOT,2015,38,69,35,34,-80.94,99.84,18.9,70,1.842105263,-43.93885714,Pochettino,ENIC,FALSE,FALSE
MCI,2015,38,71,41,30,-237.46,76.88,-160.58,66,1.736842105,-136.7193939,Pellegrini,City_Football,FALSE,FALSE
MAN,2015,38,49,35,14,-177.84,116.36,-61.48,66,1.736842105,-102.3927273,Gaal,Glazer,FALSE,FALSE
SOU,2015,38,59,41,18,-68.51,60.08,-8.43,63,1.657894737,-41.32349206,Koeman,Jisheng,FALSE,FALSE
WHU,2015,38,65,51,14,-60.08,21.11,-38.97,62,1.631578947,-36.82322581,Bilic,Sullivan,FALSE,FALSE
LIV,2015,38,63,50,13,-144.21,103.23,-40.98,60,1.578947368,-91.333,Klopp,Fenway,FALSE,FALSE
STK,2015,38,41,55,-14,-61.16,26.45,-34.71,51,1.342105263,-45.57019608,Hughes,Coates,FALSE,FALSE
CHE,2015,38,59,53,6,-103.17,99.74,-3.43,50,1.315789474,-78.4092,Hiddink,Abramovich,FALSE,FALSE
SWA,2015,38,42,52,-10,-24.86,19.16,-5.7,47,1.236842105,-20.09957447,Curtis,Nurse,FALSE,FALSE
EVE,2015,38,59,55,4,-55.75,12.54,-43.21,47,1.236842105,-45.07446809,Martinez,Woods,FALSE,FALSE
WAT,2015,38,40,50,-10,-95.22,11.12,-84.1,45,1.184210526,-80.408,Flores,Pozzo,FALSE,FALSE
WBA,2015,38,34,48,-14,-48.91,14.73,-34.18,43,1.131578947,-43.2227907,Pulis,Peace,FALSE,FALSE
CRY,2015,38,39,51,-12,-32.83,6.16,-26.67,42,1.105263158,-29.70333333,Pardew,Parish,FALSE,FALSE
BOU,2015,38,45,67,-22,-62.83,0.741,-62.089,42,1.105263158,-56.84619048,Howe,Demin,FALSE,FALSE
SUN,2015,38,48,62,-14,-75.30,12.54,-62.76,39,1.026315789,-73.36923077,Allardyce,Short,FALSE,FALSE
NEW,2015,38,44,65,-21,-123.02,5.28,-117.74,37,0.973684211,-126.3448649,McClaren,Ashley,FALSE,TRUE
NOR,2015,38,39,67,-28,-54.21,24.5,-29.71,34,0.894736842,-60.58764706,Neil,Jones,FALSE,TRUE
AVL,2015,38,27,76,-49,-75.87,73.76,-2.11,17,0.447368421,-169.5917647,Garde,Lerner,FALSE,TRUE
