Club,Season,GW_Played,Goals_Scored,Goals_Conceded,Goal_Difference,Expenditure,Income,Net,Points,Points_per_GW,Expenditure_per_Point_per_GW,Manager,Owner,Champion,Relegated
FUL,2009,38,39,46,-7,-8.1,0,-8.1,46,1.210526316,-6.691304348,Hodgson,Al-Fayed,FALSE,FALSE
SUN,2009,38,48,56,-8,-52.55,24.25,-28.3,44,1.157894737,-45.38409091,Bruce,Short,FALSE,FALSE
BOL,2009,38,42,67,-25,-13.68,2.28,-11.4,39,1.026315789,-13.32923077,Coyle,Burnden_Leisure,FALSE,FALSE
WOL,2009,38,32,56,-24,-22.18,0.992,-21.188,38,1,-22.18,McCarthy,Morgan,FALSE,FALSE
WIG,2009,38,37,79,-42,-21.02,39.62,18.6,36,0.947368421,-22.18777778,Martinez,Sharpe,FALSE,FALSE
WHU,2009,38,47,66,-19,-24.68,47.08,22.4,35,0.921052632,-26.79542857,Zola,Icelandic,FALSE,FALSE
HUL,2009,38,34,75,-41,-16.93,18.47,1.54,30,0.789473684,-21.44466667,Brown,Bartlet,FALSE,TRUE
BUR,2009,38,42,82,-40,-15.44,0.103,-15.337,30,0.789473684,-19.55733333,Coyle,Garlick,FALSE,TRUE
POR,2009,38,34,66,-32,-12.04,59.34,47.3,19,0.5,-24.08,Grant,PST,FALSE,TRUE
MAN,2008,38,68,24,44,-51.59,8.49,-43.1,90,2.368421053,-21.78244444,Ferguson,Glazer,TRUE,FALSE
LIV,2008,38,77,27,50,-81.45,52.38,-29.07,86,2.263157895,-35.98953488,Benitez,Gillet,FALSE,FALSE
CHE,2008,38,68,24,44,-34.77,50.79,16.02,83,2.184210526,-15.91879518,Scolari,Abramovich,FALSE,FALSE
ARS,2008,38,68,37,31,-45.77,29.41,-16.36,72,1.894736842,-24.15638889,Wenger,ITV_plc,FALSE,FALSE
EVE,2008,38,55,37,18,-28.59,15.16,-13.43,63,1.657894737,-17.2447619,Moyes,Woods,FALSE,FALSE
AVL,2008,38,54,48,6,-63.73,8.57,-55.16,62,1.631578947,-39.06032258,O_Neil,Lerner,FALSE,FALSE
FUL,2008,38,39,34,5,-30.61,18.61,-12,53,1.394736842,-21.94679245,Hodgson,Al-Fayed,FALSE,FALSE
TOT,2008,38,42,45,-3,-162.39,100.38,-62.01,51,1.342105263,-120.9964706,Redknapp,ENIC,FALSE,FALSE
WHU,2008,38,42,45,-3,-18.24,78.47,60.23,51,1.342105263,-13.59058824,Zola,Icelandic,FALSE,FALSE
MCI,2008,38,58,50,8,-179.38,30.21,-149.17,50,1.315789474,-136.3288,Hughes,City_Football,FALSE,FALSE
STK,2008,38,38,55,-17,-38.7,0.872,-37.828,45,1.184210526,-32.68,Pulis,Coates,FALSE,FALSE
WIG,2008,38,34,45,-11,-27.47,27.59,0.12,45,1.184210526,-23.19688889,Bruce,Sharpe,FALSE,FALSE
POR,2008,38,38,57,-19,-32.15,61.73,29.58,41,1.078947368,-29.79756098,Adams,PST,FALSE,FALSE
BOL,2008,38,41,53,-12,-27.02,12.4,-14.62,41,1.078947368,-25.04292683,Megson,Burnden_Leisure,FALSE,FALSE
BRO,2008,38,40,60,-20,-13.32,30.21,16.89,41,1.078947368,-12.34536585,Allardyce,Walter,FALSE,FALSE
SUN,2008,38,34,54,-20,-37.75,12.71,-25.04,36,0.947368421,-39.84722222,Sbragia,Short,FALSE,FALSE
HUL,2008,38,39,64,-25,-20.46,0,-20.46,35,0.921052632,-22.21371429,Brown,Bartlet,FALSE,FALSE
NEW,2008,38,40,59,-19,-40.1,47.2,7.1,34,0.894736842,-44.81764706,Kinnear,Ashley,FALSE,TRUE
WBA,2008,38,36,67,-31,-27.72,11.69,-16.03,32,0.842105263,-32.9175,Mowbray,Peace,FALSE,TRUE
MID,2008,38,28,57,-29,-14.59,9.94,-4.65,32,0.842105263,-17.325625,Southgate,Gibson,FALSE,TRUE
MAN,2007,38,80,22,58,-117.99,53.12,-64.87,87,2.289473684,-51.53586207,Ferguson,Glazer,TRUE,FALSE
CHE,2007,38,65,26,39,-67.26,49.76,-17.5,85,2.236842105,-30.06917647,Grant,Abramovich,FALSE,FALSE
ARS,2007,38,74,61,13,-35.28,64.67,29.39,83,2.184210526,-16.15228916,Wenger,ITV_plc,FALSE,FALSE
LIV,2007,38,67,28,39,-103.4,51.59,-51.81,76,2,-51.7,Benitez,Moores,FALSE,FALSE
EVE,2007,38,55,33,22,-42.81,16.87,-25.94,65,1.710526316,-25.02738462,Moyes,Woods,FALSE,FALSE
AVL,2007,38,71,51,20,-28.39,20.41,-7.98,60,1.578947368,-17.98033333,O_Neil,Lerner,FALSE,FALSE
BRO,2007,38,50,48,2,-7.07,4.53,-2.54,58,1.526315789,-4.632068966,Hughes,Walter,FALSE,FALSE
POR,2007,38,48,40,8,-66.85,26.65,-40.2,57,1.5,-44.56666667,Redknapp,PST,FALSE,FALSE
MCI,2007,38,45,53,-8,-88.86,12.04,-76.82,55,1.447368421,-61.39418182,Eriksson,UKSIL,FALSE,FALSE
WHU,2007,38,42,50,-8,-53.12,47.88,-5.24,49,1.289473684,-41.19510204,Curbishley,Icelandic,FALSE,FALSE
TOT,2007,38,66,61,5,-107.33,25.71,-81.62,46,1.210526316,-88.66391304,Ramos,ENIC,FALSE,FALSE
NEW,2007,38,45,65,-20,-43.15,35.51,-7.64,43,1.131578947,-38.13255814,Allardyce,Ashley,FALSE,FALSE
MID,2007,38,43,53,-10,-57.68,34.46,-23.22,42,1.105263158,-52.18666667,Southgate,Gibson,FALSE,FALSE
WIG,2007,38,34,51,-17,-20.41,20.32,-0.09,40,1.052631579,-19.3895,Bruce,Sharpe,FALSE,FALSE
SUN,2007,38,36,59,-23,-73.32,3.65,-69.67,39,1.026315789,-71.44,Keane,Drumaville,FALSE,FALSE
BOL,2007,38,36,54,-18,-25.48,25.04,-0.44,37,0.973684211,-26.16864865,Megson,Burnden_Leisure,FALSE,FALSE
FUL,2007,38,38,60,-22,-57.49,22.23,-35.26,36,0.947368421,-60.68388889,Hodgson,Al-Fayed,FALSE,FALSE
REA,2007,38,41,66,-25,-13.79,6.5,-7.29,36,0.947368421,-14.55611111,Coppell,Yongge,FALSE,TRUE
BIR,2007,38,46,62,-16,-33.4,9.66,-23.74,35,0.921052632,-36.26285714,Bruce,Yeung,FALSE,TRUE
DER,2007,38,20,89,-69,-25.85,5.97,-19.88,11,0.289473684,-89.3,Davies,American_Partners,FALSE,TRUE
MAN,2006,38,83,27,56,-31.01,20.52,-10.49,89,2.342105263,-13.24022472,Ferguson,Glazer,TRUE,FALSE
CHE,2006,38,64,24,40,-101.43,59.96,-41.47,83,2.184210526,-46.43783133,Mourinho,Abramovich,FALSE,FALSE
LIV,2006,38,57,27,30,-52.44,29.94,-22.5,68,1.789473684,-29.30470588,Benitez,Moores,FALSE,FALSE
ARS,2006,38,63,35,28,-17.1,4.85,-12.25,68,1.789473684,-9.555882353,Wenger,ITV_plc,FALSE,FALSE
TOT,2006,38,57,54,3,-69.54,44.06,-25.48,60,1.578947368,-44.042,Jol,ENIC,FALSE,FALSE
EVE,2006,38,52,36,16,-20.41,2.85,-17.56,58,1.526315789,-13.37206897,Moyes,Woods,FALSE,FALSE
BOL,2006,38,47,52,-5,-19.38,4.39,-14.99,56,1.473684211,-13.15071429,Allardyce,Burnden_Leisure,FALSE,FALSE
REA,2006,38,52,47,5,-10.52,0,-10.52,55,1.447368421,-7.268363636,Coppell,Yongge,FALSE,FALSE
POR,2006,38,45,42,3,-10.37,1.43,-8.94,54,1.421052632,-7.297407407,Redknapp,PST,FALSE,FALSE
BRO,2006,38,52,54,-2,-18.84,19.28,0.44,52,1.368421053,-13.76769231,Hughes,Walter,FALSE,FALSE
AVL,2006,38,43,41,2,-28.16,2.08,-26.08,50,1.315789474,-21.4016,O_Neil,Lerner,FALSE,FALSE
MID,2006,38,44,49,-5,-12.88,5.33,-7.55,46,1.210526316,-10.64,Southgate,Gibson,FALSE,FALSE
NEW,2006,38,38,47,-9,-36.34,12.74,-23.6,43,1.131578947,-32.1144186,Roeder,Hall,FALSE,FALSE
MCI,2006,38,29,44,-15,-7.41,4.79,-2.62,42,1.105263158,-6.704285714,Pearce,UKSIL,FALSE,FALSE
WHU,2006,38,35,59,-24,-79.63,7.7,-71.93,41,1.078947368,-73.80341463,Curbishley,Icelandic,FALSE,FALSE
FUL,2006,38,38,60,-22,-15.73,11.99,-3.74,39,1.026315789,-15.32666667,Coleman,Al-Fayed,FALSE,FALSE
WIG,2006,38,37,59,-22,-29.24,27.73,-1.51,38,1,-29.24,Jewell,Sharpe,FALSE,FALSE
SHU,2006,38,32,55,-23,-20.55,3.79,-16.76,38,1,-20.55,Warnock,Blades_Leisure,FALSE,TRUE
CHA,2006,38,34,60,-26,-24.68,2.59,-22.09,34,0.894736842,-27.58352941,Pardew,Richard_Murray,FALSE,TRUE
WAT,2006,38,29,59,-30,-11.97,15.39,3.42,28,0.736842105,-16.245,Boothroyd,Bassini,FALSE,TRUE
CHE,2005,38,72,22,50,-104.31,38.87,-65.44,91,2.394736842,-43.55802198,Mourinho,Abramovich,TRUE,FALSE
MAN,2005,38,72,34,38,-36.25,9.01,-27.24,83,2.184210526,-16.59638554,Ferguson,Glazer,FALSE,FALSE
LIV,2005,38,57,25,32,-50.23,21.71,-28.52,82,2.157894737,-23.27731707,Benitez,Moores,FALSE,FALSE
ARS,2005,38,68,31,37,-52.44,28.5,-23.94,67,1.763157895,-29.74208955,Wenger,ITV_plc,FALSE,FALSE
TOT,2005,38,53,38,15,-41.62,25.82,-15.8,65,1.710526316,-24.33169231,Jol,ENIC,FALSE,FALSE
BRO,2005,38,51,42,9,-10.72,3.08,-7.64,63,1.657894737,-6.466031746,Hughes,Walter,FALSE,FALSE
NEW,2005,38,47,42,5,-69.83,35.23,-34.6,58,1.526315789,-45.75068966,Souness,Hall,FALSE,FALSE
BOL,2005,38,49,41,8,-10.37,0,-10.37,56,1.473684211,-7.036785714,Allardyce,Burnden_Leisure,FALSE,FALSE
WHU,2005,38,52,55,-3,-24.61,0.627,-23.983,55,1.447368421,-17.00327273,Pardew,Icelandic,FALSE,FALSE
WIG,2005,38,45,52,-7,-17.98,6.41,-11.57,51,1.342105263,-13.39686275,Jewell,Sharpe,FALSE,FALSE
EVE,2005,38,34,49,-15,-37.08,7.98,-29.1,50,1.315789474,-28.1808,Moyes,Woods,FALSE,FALSE
FUL,2005,38,48,58,-10,-10.37,5.27,-5.1,48,1.263157895,-8.209583333,Coleman,Al-Fayed,FALSE,FALSE
CHA,2005,38,41,55,-14,-10.37,6.51,-3.86,47,1.236842105,-8.384255319,Curbishley,Richard_Murray,FALSE,FALSE
MID,2005,38,48,58,-10,-15.91,0,-15.91,45,1.184210526,-13.43511111,Southgate,Gibson,FALSE,FALSE
MCI,2005,38,43,48,-5,-14.2,37.05,22.85,43,1.131578947,-12.54883721,Pearce,UKSIL,FALSE,FALSE
AVL,2005,38,42,55,-13,-18.86,7.3,-11.56,42,1.105263158,-17.06380952,O_Leary,Lerner,FALSE,FALSE
POR,2005,38,37,62,-25,-18.78,11.29,-7.49,38,1,-18.78,Redknapp,PST,FALSE,FALSE
BIR,2005,38,28,50,-22,-10.37,9.06,-1.31,34,0.894736842,-11.59,Bruce,Sullivan,FALSE,TRUE
WBA,2005,38,31,58,-27,-17.44,10.35,-7.09,30,0.789473684,-22.09066667,Robson,Peace,FALSE,TRUE
SUN,2005,38,26,68,-42,-10.37,1.62,-8.75,15,0.394736842,-26.27066667,McCarthy,Drumaville,FALSE,TRUE
CHE,2004,38,72,15,57,-189.7,3.76,-185.94,95,2.5,-75.88,Mourinho,Abramovich,TRUE,FALSE
ARS,2004,38,87,36,51,-14.23,4.45,-9.78,83,2.184210526,-6.514939759,Wenger,ITV_plc,FALSE,FALSE
MAN,2004,38,58,26,32,-69.83,10.9,-58.93,77,2.026315789,-34.46155844,Ferguson,McManus,FALSE,FALSE
EVE,2004,38,45,46,-1,-13.54,51.76,38.22,61,1.605263158,-8.434754098,Moyes,Woods,FALSE,FALSE
LIV,2004,38,52,41,11,-66.58,28.01,-38.57,58,1.526315789,-43.62137931,Benitez,Moores,FALSE,FALSE
BOL,2004,38,49,44,5,-1.57,0.428,-1.142,58,1.526315789,-1.02862069,Allardyce,Burnden_Leisure,FALSE,FALSE
MID,2004,38,53,46,7,-7.7,3.93,-3.77,55,1.447368421,-5.32,Southgate,Gibson,FALSE,FALSE
TOT,2004,38,47,41,6,-53.72,11.97,-41.75,52,1.368421053,-39.25692308,Jol,ENIC,FALSE,FALSE
MCI,2004,38,47,39,8,-1.71,13.05,11.34,52,1.368421053,-1.249615385,Keegan,UKSIL,FALSE,FALSE
AVL,2004,38,45,52,-7,-10.08,3.9,-6.18,47,1.236842105,-8.149787234,O_Leary,Lerner,FALSE,FALSE
CHA,2004,38,42,58,-16,-15.11,2.22,-12.89,46,1.210526316,-12.48217391,Curbishley,Richard_Murray,FALSE,FALSE
BIR,2004,38,40,46,-6,-17.98,9.29,-8.69,45,1.184210526,-15.18311111,Bruce,Sullivan,FALSE,FALSE
NEW,2004,38,47,57,-10,-33.57,25.39,-8.18,44,1.157894737,-28.99227273,Souness,Hall,FALSE,FALSE
FUL,2004,38,52,60,-8,-15.9,5.93,-9.97,44,1.157894737,-13.73181818,Coleman,Al-Fayed,FALSE,FALSE
BRO,2004,38,32,43,-11,-8.98,8.78,-0.2,42,1.105263158,-8.124761905,Hughes,Walter,FALSE,FALSE
POR,2004,38,43,59,-16,-8.38,7.52,-0.86,39,1.026315789,-8.165128205,Zajec,PST,FALSE,FALSE
WBA,2004,38,36,61,-25,-18.07,2.22,-15.85,34,0.894736842,-20.19588235,Robson,Peace,FALSE,FALSE
NOR,2004,38,42,77,-35,-9.72,0.513,-9.207,33,0.868421053,-11.19272727,Worthington,Jones,FALSE,TRUE
CRY,2004,38,41,62,-21,-5.87,0.114,-5.756,33,0.868421053,-6.759393939,Dowie,CPFC,FALSE,TRUE
SOU,2004,38,45,66,-21,-14.45,13.11,-1.34,32,0.842105263,-17.159375,Redknapp,Lowe,FALSE,TRUE
ARS,2003,38,73,26,47,-34.91,1.2,-33.71,90,2.368421053,-14.73977778,Wenger,ITV_plc,TRUE,FALSE
CHE,2003,38,67,30,37,-192.89,1.08,-191.81,79,2.078947368,-92.78253165,Ranieri,Abramovich,FALSE,FALSE
MAN,2003,38,64,35,29,-64.44,67.26,2.82,75,1.973684211,-32.6496,Ferguson,McManus,FALSE,FALSE
LIV,2003,38,55,37,18,-17.84,0,-17.84,60,1.578947368,-11.29866667,Houllier,Moores,FALSE,FALSE
AVL,2003,38,48,44,4,-9.55,0.331,-9.219,56,1.473684211,-6.480357143,Ellis,Lerner,FALSE,FALSE
NEW,2003,38,52,40,12,0,5.7,5.7,56,1.473684211,0,Robson,Hall,FALSE,FALSE
CHA,2003,38,51,51,0,-1.71,16.53,14.82,53,1.394736842,-1.226037736,Curbishley,Richard_Murray,FALSE,FALSE
BOL,2003,38,48,56,-8,0.86,0.086,0.941,53,1.394736842,0.616603774,Allardyce,Burnden_Leisure,FALSE,FALSE
FUL,2003,38,52,46,6,-9.67,28.55,18.88,52,1.368421053,-7.066538462,Coleman,Al-Fayed,FALSE,FALSE
BIR,2003,38,43,48,-5,-18.92,2.22,-16.7,50,1.315789474,-14.3792,Bruce,Sullivan,FALSE,FALSE
MID,2003,38,44,52,-8,-11.63,1.28,-10.35,48,1.263157895,-9.207083333,Southgate,Gibson,FALSE,FALSE
SOU,2003,38,44,45,-1,-10.23,12.4,2.17,47,1.236842105,-8.27106383,Strachan,Lowe,FALSE,FALSE
TOT,2003,38,47,57,-10,-33.92,2,-31.92,45,1.184210526,-28.64355556,Pleat,ENIC,FALSE,FALSE
POR,2003,38,47,54,-7,-13.42,0.228,-13.192,45,1.184210526,-11.33244444,Redknapp,PST,FALSE,FALSE
BRO,2003,38,51,59,-8,-25.47,39.16,13.69,44,1.157894737,-21.99681818,Souness,Walter,FALSE,FALSE
MCI,2003,38,55,54,1,-18.88,7.55,-11.33,41,1.078947368,-17.49853659,Keegan,UKSIL,FALSE,FALSE
EVE,2003,38,45,57,-12,-11.47,1.11,-10.36,39,1.026315789,-11.17589744,Moyes,Woods,FALSE,FALSE
WOL,2003,38,38,77,-39,-11.26,1.31,-9.95,33,0.868421053,-12.96606061,D_Jones,Morgan,FALSE,TRUE
LEI,2003,38,48,65,-17,-1.3,0,-1.3,33,0.868421053,-1.496969697,Adams,Mandaric,FALSE,TRUE
LEE,2003,38,40,79,-39,-0.11,18.33,18.216,33,0.868421053,-0.126666667,Reid,Ridsdale,FALSE,TRUE
MAN,2002,38,74,34,40,-55.32,3.99,-51.33,83,2.184210526,-25.32722892,Ferguson,McManus,TRUE,FALSE
ARS,2002,38,85,42,43,-12.23,9.37,-2.86,78,2.052631579,-5.958205128,Wenger,ITV_plc,FALSE,FALSE
NEW,2002,38,63,48,15,-39.39,0.257,-39.133,69,1.815789474,-21.69304348,Robson,Hall,FALSE,FALSE
CHE,2002,38,68,38,30,0,2.39,2.39,67,1.763157895,0,Ranieri,Harding,FALSE,FALSE
LIV,2002,38,61,41,20,-35.91,13.11,-22.8,64,1.684210526,-21.3215625,Houllier,Moores,FALSE,FALSE
BRO,2002,38,52,43,9,-8.27,2.05,-6.22,60,1.578947368,-5.237666667,Souness,Walter,FALSE,FALSE
EVE,2002,38,48,49,-1,-15.65,0.428,-15.222,59,1.552631579,-10.07966102,Moyes,Woods,FALSE,FALSE
SOU,2002,38,43,46,-3,-13.68,0,-13.68,52,1.368421053,-9.996923077,Strachan,Lowe,FALSE,FALSE
MCI,2002,38,47,54,-7,-50.67,0.855,-49.815,51,1.342105263,-37.75411765,Keegan,UKSIL,FALSE,FALSE
TOT,2002,38,51,62,-11,-11.97,1.54,-10.43,50,1.315789474,-9.0972,Hoddle,ENIC,FALSE,FALSE
MID,2002,38,48,44,4,-42.64,0,-42.64,49,1.289473684,-33.0677551,Southgate,Gibson,FALSE,FALSE
CHA,2002,38,45,56,-11,-7.7,3.02,-4.68,49,1.289473684,-5.971428571,Curbishley,Richard_Murray,FALSE,FALSE
BIR,2002,38,41,49,-8,-17.87,1.31,-16.56,48,1.263157895,-14.14708333,Bruce,Yeung,FALSE,FALSE
FUL,2002,38,41,50,-9,-3.42,0.941,-2.479,48,1.263157895,-2.7075,Tigana,Al-Fayed,FALSE,FALSE
LEE,2002,38,58,57,1,-5.13,91.33,86.2,47,1.236842105,-4.147659574,Venables,Ridsdale,FALSE,FALSE
AVL,2002,38,42,47,-5,-10.35,7.87,-2.48,45,1.184210526,-8.74,Taylor,Lerner,FALSE,FALSE
BOL,2002,38,41,51,-10,0,6.03,6.03,44,1.157894737,0,Allardyce,Burnden_Leisure,FALSE,FALSE
WHU,2002,38,42,59,-17,-0.46,0.086,-0.37,42,1.105263158,-0.416190476,Roeder,Brown,FALSE,TRUE
WBA,2002,38,29,65,-36,-19.32,0,-19.32,26,0.684210526,-28.23692308,Megson,Peace,FALSE,TRUE
SUN,2002,38,21,65,-44,-33.48,0,-33.48,19,0.5,-66.96,Wilkinson,Drumaville,FALSE,TRUE
ARS,2001,38,79,26,53,-37.26,13.68,-23.58,87,2.289473684,-16.27448276,Wenger,ITV_plc,TRUE,FALSE
LIV,2001,38,67,30,37,-35.68,32.66,-3.02,80,2.105263158,-16.948,Houllier,Moores,FALSE,FALSE
MAN,2001,38,87,45,42,-97.87,49.7,-48.17,77,2.026315789,-48.29948052,Ferguson,McManus,FALSE,FALSE
NEW,2001,38,74,52,22,-36.01,7.37,-28.64,71,1.868421053,-19.27295775,Robson,Hall,FALSE,FALSE
LEE,2001,38,53,37,16,-52.78,5.22,-47.56,66,1.736842105,-30.38848485,O_Leary,Ridsdale,FALSE,FALSE
CHE,2001,38,66,38,28,-51.07,15.07,-36,64,1.684210526,-30.3228125,Ranieri,Harding,FALSE,FALSE
WHU,2001,38,48,57,-9,-26.46,20.66,-5.8,53,1.394736842,-18.97132075,Roeder,Brown,FALSE,FALSE
TOT,2001,38,49,53,-4,-31.98,11.12,-20.86,50,1.315789474,-24.3048,Hoddle,ENIC,FALSE,FALSE
AVL,2001,38,46,47,-1,-29.75,19.24,-10.51,50,1.315789474,-22.61,Gregory,Lerner,FALSE,FALSE
BRO,2001,38,55,51,4,-36.88,12.17,-24.71,46,1.210526316,-30.46608696,Souness,Walter,FALSE,FALSE
MID,2001,38,35,47,-12,-25.88,6.15,-19.73,45,1.184210526,-21.85422222,McClaren,Gibson,FALSE,FALSE
SOU,2001,38,46,54,-8,-22.06,16.47,-5.59,45,1.184210526,-18.62844444,Strachan,Lowe,FALSE,FALSE
FUL,2001,38,36,44,-8,-57.68,1.17,-56.51,44,1.157894737,-49.81454545,Tigana,Al-Fayed,FALSE,FALSE
CHA,2001,38,38,49,-11,-15.39,1.57,-13.82,44,1.157894737,-13.29136364,Curbishley,Richard_Murray,FALSE,FALSE
EVE,2001,38,45,57,-12,-11.97,13.59,1.62,43,1.131578947,-10.57813953,W_Smith,Woods,FALSE,FALSE
SUN,2001,38,29,51,-22,-31.87,14.63,-17.24,40,1.052631579,-30.2765,Reid,Drumaville,FALSE,FALSE
BOL,2001,38,44,62,-18,-3.57,0.08,-3.49,40,1.052631579,-3.3915,Allardyce,Burnden_Leisure,FALSE,FALSE
IPS,2001,38,41,64,-23,-23.06,15.39,-7.67,36,0.947368421,-24.34111111,Burley,Evans,FALSE,TRUE
DER,2001,38,33,63,-30,-5.23,19.95,14.72,30,0.789473684,-6.624666667,Todd,American_Partners,FALSE,TRUE
LEI,2001,38,30,64,-34,-20.63,3.45,-17.18,28,0.736842105,-27.99785714,Bassett,Mandaric,FALSE,TRUE
MAN,2000,38,79,31,48,-13.34,11.26,-2.08,80,2.105263158,-6.3365,Ferguson,McManus,TRUE,FALSE
ARS,2000,38,63,38,25,-64.18,69.23,5.05,70,1.842105263,-34.84057143,Wenger,ITV_plc,FALSE,FALSE
LIV,2000,38,71,39,32,-38.76,22.27,-16.49,69,1.815789474,-21.34608696,Houllier,Moores,FALSE,FALSE
LEE,2000,38,64,43,21,-60.59,13.83,-46.76,68,1.789473684,-33.85911765,O_Leary,Ridsdale,FALSE,FALSE
IPS,2000,38,57,42,15,-10.94,5.13,-5.81,66,1.736842105,-6.298787879,Burley,Evans,FALSE,FALSE
CHE,2000,38,68,45,23,-59.72,44.12,-15.6,61,1.605263158,-37.20262295,Ranieri,Harding,FALSE,FALSE
SUN,2000,38,46,41,5,-21.62,6.3,-15.32,57,1.5,-14.41333333,Reid,Drumaville,FALSE,FALSE
AVL,2000,38,46,43,3,-26.68,23.37,-3.31,54,1.421052632,-18.77481481,Gregory,Lerner,FALSE,FALSE
CHA,2000,38,50,57,-7,-23.71,0.606,-23.104,52,1.368421053,-17.32653846,Curbishley,Richard_Murray,FALSE,FALSE
SOU,2000,38,40,48,-8,0,0.165,0.165,52,1.368421053,0,Hoodle,Lowe,FALSE,FALSE
NEW,2000,38,44,50,-6,-29.54,24,-5.54,51,1.342105263,-22.01019608,Robson,Hall,FALSE,FALSE
TOT,2000,38,47,54,-7,-29.34,2.8,-26.54,49,1.289473684,-22.75346939,Graham,Sugar,FALSE,FALSE
LEI,2000,38,39,51,-12,-13.4,11.06,-2.34,48,1.263157895,-10.60833333,Taylor,Mandaric,FALSE,FALSE
EVE,2000,38,45,59,-14,-39.31,40.53,1.22,42,1.105263158,-35.56619048,W_Smith,Woods,FALSE,FALSE
MID,2000,38,44,44,0,-37.39,11.4,-25.99,42,1.105263158,-33.82904762,Venables,Gibson,FALSE,FALSE
WHU,2000,38,45,50,-5,-19.54,48.34,28.8,42,1.105263158,-17.67904762,Redknapp,Brown,FALSE,FALSE
DER,2000,38,37,59,-22,-15.19,7.92,-7.27,42,1.105263158,-13.74333333,J_Smith,American_Partners,FALSE,FALSE
MCI,2000,38,41,65,-24,-22.89,1.67,-21.22,34,0.894736842,-25.58294118,Royle,UKSIL,FALSE,TRUE
COV,2000,38,36,63,-27,-21.66,29.95,8.29,34,0.894736842,-24.20823529,Strachan,RVP,FALSE,TRUE
BRAD,2000,38,30,70,-40,-7.53,9.43,1.9,26,0.684210526,-11.00538462,Hutchings,Reynolds,FALSE,TRUE
MAN,1999,38,97,45,52,-9.06,0.399,-8.661,91,2.394736842,-3.783296703,Ferguson,McManus,TRUE,FALSE
ARS,1999,38,73,43,30,-25.82,47.37,21.55,73,1.921052632,-13.44054795,Wenger,ITV_plc,FALSE,FALSE
LEE,1999,38,58,43,15,-40.7,25.37,-15.33,69,1.815789474,-22.41449275,O_Leary,Ridsdale,FALSE,FALSE
LIV,1999,38,51,30,21,-62.13,13.2,-48.93,67,1.763157895,-35.23791045,Houllier,Moores,FALSE,FALSE
CHE,1999,38,53,34,19,-30.04,7.87,-22.17,65,1.710526316,-17.56184615,Vialli,Harding,FALSE,FALSE
SUN,1999,38,57,56,1,-19.03,13.79,-5.24,58,1.526315789,-12.46793103,Reid,Drumaville,FALSE,FALSE
AVL,1999,38,46,35,11,-10.94,6.06,-4.88,58,1.526315789,-7.167586207,Gregory,Lerner,FALSE,FALSE
WHU,1999,38,52,53,-1,-8.91,12.6,3.69,55,1.447368421,-6.156,Redknapp,Brown,FALSE,FALSE
LEI,1999,38,55,55,0,-7.18,18.9,11.72,55,1.447368421,-4.960727273,O_Neil,Mandaric,FALSE,FALSE
TOT,1999,38,57,49,8,-19.38,2.05,-17.33,53,1.394736842,-13.89509434,Graham,Sugar,FALSE,FALSE
NEW,1999,38,63,54,9,-30.15,24.97,-5.18,52,1.368421053,-22.03269231,Robson,Hall,FALSE,FALSE
MID,1999,38,46,52,-6,-11.76,15.79,4.03,52,1.368421053,-8.593846154,Robson,Gibson,FALSE,FALSE
EVE,1999,38,59,49,10,-9.01,23.18,14.17,50,1.315789474,-6.8476,W_Smith,Woods,FALSE,FALSE
COV,1999,38,47,54,-7,-22.32,17.56,-4.76,44,1.157894737,-19.27636364,Strachan,RVP,FALSE,FALSE
SOU,1999,38,45,62,-17,-3.9,0.804,-3.096,44,1.157894737,-3.368181818,D_Jones,Lowe,FALSE,FALSE
DER,1999,38,44,57,-13,-18.7,8.72,-9.98,38,1,-18.7,J_Smith,American_Partners,FALSE,FALSE
BRAD,1999,38,38,68,-30,-3.06,0.945,-2.115,36,0.947368421,-3.23,Jewell,Reynolds,FALSE,FALSE
WIM,1999,38,46,74,-28,-9.41,9.89,0.48,33,0.868421053,-10.83575758,Olsen,Martin,FALSE,TRUE
SHEW,1999,38,38,70,-32,-9.12,4.6,-4.52,31,0.815789474,-11.17935484,D_Wilson,Attenburough,FALSE,TRUE
WAT,1999,38,35,77,-42,-4.16,0.561,-3.599,24,0.631578947,-6.586666667,Taylor,Bassini,FALSE,TRUE
MAN,1998,38,80,37,43,-51.02,6.9,-44.12,79,2.078947368,-24.54126582,Ferguson,McManus,TRUE,FALSE
ARS,1998,38,59,17,42,-21.32,0.855,-20.465,78,2.052631579,-10.38666667,Wenger,ITV_plc,FALSE,FALSE
CHE,1998,38,57,30,27,-22,6.67,-15.33,75,1.973684211,-11.14666667,Vialli,Harding,FALSE,FALSE
LEE,1998,38,62,34,28,-9.63,0.228,-9.402,67,1.763157895,-5.461791045,O_Leary,Ridsdale,FALSE,FALSE
WHU,1998,38,46,53,-7,-12.64,21.67,9.03,57,1.5,-8.426666667,Redknapp,Brown,FALSE,FALSE
AVL,1998,38,51,46,5,-47.97,28.48,-19.49,55,1.447368421,-33.14290909,Gregory,Lerner,FALSE,FALSE
LIV,1998,38,68,49,19,-15.25,8.01,-7.24,54,1.421052632,-10.73148148,Houllier,Moores,FALSE,FALSE
